"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
303,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,24.56,12.84,4644.36372159509,1.44964,4.2334,-0.0413556,0.195453,0.0874276,0.0947209,0.0647573,1,0.0319765,0.039136,0.0830818,0.00826885,0.0164671,0.0194284,0.045966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,1,1,1,1,1,0,0,0,0,0,1,0,2.3,NA,FOCE_I,0:01:00,28.67,10.98,4585.67554787751,1.45982,4.21979,-0.164284,0.182439,0.0844351,0.0867781,0.0483076,1,0.0324495,0.0369784,0.0864992,0.00748798,0.0167118,0.0199737,0.0401064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,33.46,14.59,4647.81920014266,1.46698,4.21596,-0.0704201,0.19317,0.0826597,0.104789,0.0832974,1,0.0306206,0.0390474,0.0838688,0.00750487,0.0176537,0.0166415,0.0458265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,26.85,15.31,4697.87373353675,1.42648,4.29581,-0.177437,0.208968,0.115334,0.112666,0.0264064,1,0.0369635,0.041012,0.0885323,0.00918663,0.0200926,0.0229303,0.0433242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,1,1,1,1,1,0,0,0,0,0,0,0,2.8,NA,FOCE_I,0:01:00,38.59,14,4615.82193984169,1.48675,4.24468,-0.0905991,0.202386,0.102033,0.0851225,0.037215,1,0.0347943,0.0375169,0.0884319,0.00888148,0.0181683,0.018377,0.051546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,51.3,12.66,4587.89891027087,1.455,4.29925,-0.0680991,0.203685,0.110192,0.0933536,0.0239573,1,0.0370534,0.0373327,0.10178,0.00809003,0.0189373,0.0189011,0.0216417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,1,1,1,1,1,0,0,0,0,0,0,0,2.3,NA,FOCE_I,0:01:00,39.92,13.81,4680.87643078904,1.38066,4.24087,0.100545,0.20538,0.106082,0.0671877,0.128784,1,0.0370924,0.0337434,0.0948797,0.00905195,0.0195394,0.0124985,0.0706687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,29.13,13.07,4655.79793352597,1.43481,4.28542,-0.0650025,0.197379,0.11906,0.0820005,0.188986,1,0.0386186,0.0371127,0.120602,0.00822382,0.0180411,0.0223309,0.0541588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,1,1,1,1,1,0,0,0,0,0,0,0,2.6,NA,FOCE_I,0:01:00,25.72,13.38,4651.79666266374,1.44226,4.27178,-0.0743264,0.207159,0.0826286,0.0815335,0.0724208,1,0.0321922,0.0360319,0.0990826,0.0103167,0.0131286,0.0177148,0.0492164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,33.72,12.06,4677.67990321822,1.42698,4.21573,-0.204574,0.207433,0.0895131,0.0674961,0.124059,1,0.0343317,0.0369997,0.09705,0.00930934,0.016797,0.0193871,0.0703071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
