rep,id,eta_logV1,eta_logQ,eta_logV2,eta_logVm,eta_logKm
4,39,-0.079859658132487,0.213800450733675,0.318514543809326,-0.102262044705728,1.04947141289097
5,39,-0.0358221434771626,-0.146655037951279,0.356157062887738,0.0346351398907624,1.17956710147029
1,40,0.291901474969897,0.321579996239762,0.421128927414947,-0.0783223678713599,-0.234329429825164
2,40,0.168213809105828,0.20045208707168,-0.118202154657602,0.207170100173693,-0.222118341971228
3,40,0.377400942532758,-0.527484480662755,0.532902518356313,0.0202326686295523,-0.332959546861264
4,40,0.265849181641148,0.196555580116389,-0.181911064330912,0.360917988453052,-0.115552919604862
5,40,0.254817201273845,0.193377488779418,-0.215300088795583,0.378682841341736,-0.298326465599312
1,41,-0.117692231655933,-0.110364862829336,0.366679948910135,-0.229074746914035,-0.153284707213399
2,41,0.0257524903735508,0.24729363258809,-0.215314835029653,-0.0565942714724506,0.143272805140112
3,41,0.0164456337150697,-0.224795262506716,-0.0864500100378509,-0.0120585755521921,0.122355461938569
4,41,-0.0737442821190036,-0.050229942817368,-0.285527879666789,0.0125847770651245,0.107333263921638
5,41,-0.208171861314428,0.175910312847436,-0.125480877229178,0.0625430967250657,0.133486382817244
