rep,id,eta_logV,eta_logVm,eta_logKm
3,41,0.07661352948525,-0.129459582770027,0.0305677637298656
4,41,-0.0563289307127331,-0.185944532299471,0.0450350747047421
5,41,0.143798131562709,0.140204395458842,0.241486043177103
1,42,0.160035117938737,0.0871254879568968,-0.0251737167832041
2,42,0.207896361342172,-0.0195938764327031,0.190612016622819
3,42,0.141678099223189,0.335554900874241,-0.148532997056651
4,42,0.212057665735028,0.0492274823354621,-0.0797553533882757
5,42,0.0943150471909096,0.166982042788929,-0.421740800942996
1,43,-0.0835764433322639,0.205212226091137,0.390214006136148
2,43,-0.150054135039543,-0.0814177666176061,0.0799150714848411
3,43,-0.0818159399892146,-0.0364228529726184,0.117696875157329
4,43,-0.111305550233821,-0.200886208990408,-0.0289278024218672
5,43,-0.0436306615761217,0.0186536686950521,0.206558969965358
1,44,-0.286805207427222,0.272337735375313,-0.410935349182243
2,44,-0.232809906826584,0.394211719271808,-0.271133144587756
3,44,-0.28168935159039,0.414204255493992,-0.207350140571264
4,44,-0.249549724940826,0.30176647398465,-0.418762308155436
5,44,-0.340210029983165,0.248635942775512,-0.434910013751612
1,45,0.633907794562196,0.196229997270638,0.417802255404496
2,45,0.624673722596976,-0.0724734862390006,0.130487455417449
3,45,0.647232200647787,-0.136693173524294,0.097801681686196
4,45,0.66225626816169,-0.0554597690899729,0.325082748649664
5,45,0.453815887446109,0.434318774796441,0.346178235417506
1,46,0.159885074720559,0.210618654727286,-0.727946111787202
2,46,0.0876039668018164,0.378566410486059,-0.340809901899577
3,46,0.155350198906547,0.244967317943539,-0.67240489258034
4,46,0.237155860311352,0.261162016514249,-0.669367550979119
5,46,0.0609375929322287,0.375421085561833,-0.383473076297224
